ID_ENCUESTA,ID_VEHICULO,ID_TIPOVEHICULO,ID_COMBUSTIBLE,MUNICIPIO_MATRICULA,PERTENECE_VEHICULO,PERSONA_DUENOVEHICULO,EXENTO_PICOYPLACA,RAZON_EXENTO,DONDE_GUARDAVEHICULO,VALOR_PARQUEO
18580641,2,4,1,BOGOTA,1,2,1,12,1,-1
18581590,1,4,1,BOGOTA,1,1,1,12,1,-1
18581592,1,1,1,BOGOTA,1,2,2,-1,1,-1
18581598,1,1,1,BOGOTA,1,1,2,-1,1,-1
18581601,1,1,1,BOGOTA,1,1,2,-1,1,-1
18581601,2,4,1,BOGOTA,1,1,1,12,1,-1
18581602,1,1,1,BOGOTA,1,1,2,-1,1,-1
18581603,1,1,1,BOGOTA,1,1,2,-1,1,-1
18581815,1,4,1,11001,1,1,1,12,1,-1
18581822,1,1,1,11001,1,1,2,-1,3,0
18581824,1,1,1,11001,1,1,2,-1,1,-1
18581825,1,2,1,11001,1,1,2,-1,1,-1
18581825,2,2,2,11001,1,1,2,-1,1,-1
18581826,1,1,1,11001,1,1,2,-1,1,-1
18581826,2,1,1,11001,1,1,2,-1,1,-1
18581831,1,1,1,CHIA,1,1,2,-1,1,-1
18581831,2,4,1,BOGOTA,1,1,2,-1,1,-1
18581832,1,4,1,BOGOTA,4,-1,1,12,1,-1
18581833,1,1,1,CؼCUTA,1,1,2,-1,1,-1
18581834,1,1,1,BOGOTA,1,4,2,-1,1,-1
18581834,2,4,1,BOGOTA,1,4,1,12,1,-1
18581835,1,1,1,BOGOTA,1,3,2,-1,2,30000
18581845,1,1,1,BOGOTA,1,1,2,-1,2,0
18581846,1,1,1,BOGOTA,1,2,2,-1,2,70000
18581846,2,2,1,BOGOTA,1,1,2,-1,2,0
18581847,1,4,1,BOGOTA,1,1,1,12,2,0
18581848,1,2,1,BOGOTA,1,1,2,-1,1,-1
18581883,1,1,2,MOSQUERA,1,2,2,-1,1,-1
18581885,1,1,1,BOGOTA,1,1,2,-1,1,-1
18581889,1,5,1,BOGOTA,3,-1,2,-1,1,-1
18581906,1,4,1,BOGOTA,1,1,1,12,1,-1
18581952,1,1,1,BOGOTA,1,1,2,-1,2,68000
18581953,1,1,1,BOGOTA,1,1,2,-1,3,0
18581990,1,2,5,286,1,2,1,4,2,90000
18581991,1,1,1,11001,1,1,2,-1,1,-1
18581993,1,3,4,175,1,2,2,-1,1,-1
18581993,2,4,1,11001,1,1,1,12,1,-1
18581994,1,4,1,11001,1,1,1,12,1,-1
18582696,1,4,1,11001,1,1,2,-1,1,-1
18582700,1,1,1,ANTIOQUIA,1,1,2,-1,3,100
18584052,1,5,5,11001,1,1,2,-1,3,110000
18584054,1,4,1,11001,1,3,2,-1,2,0
18585200,1,1,1,785,1,1,2,-1,1,-1
18585200,2,1,1,785,1,1,2,-1,1,-1
18585200,3,1,1,11001,1,2,2,-1,1,-1
18586643,1,1,1,BOGOTA,1,1,2,-1,1,-1
