ID;DESCRIPCION
1;Trabajar
2;Asuntos de Trabajo
3;Estudiar
4;Recibir atencion en salud
5;Ir a ver a alguien
6;Volver a casa
89;Otra cosa
14;Buscar trabajo
13;Recreacion
12;Tramites
11;Compras
10;Comer / Tomar algo
9;Buscar/dejar dejar algo
8;Buscar / dejar a alguien que no esta bajo su c
7;Buscar / Dejar alguien bajo su cuidad
