ID;NOMBRE
1;jefe
3;Hijos
4;Nietos
5;Padres
6;Hermanos
7;Yerno o Nuera
8;Abuelos
9;Suegros
10;Tios
11;Sobrinos
12;Primos
14;Otros Parientes
15;No Parientes
13;Cunados
2;conyuge o companera(o)
